id,name,chineseName,altNames,originCountry,originRegion,developedYear,parentage,description,plantType,environment,processing,oxidation,roasting,versatility,authorshipRung
benihikari,Benihikari,べにひかり / 紅ひかり,,Japan,Kagoshima,1969,,"'Red Light'. A classic Japanese black tea cultivar with Darjeeling lineage, known for its muscatel-like aroma.",,,,,,,drafted
bi-luo-chun-qunti,Bi Luo Chun Qunti,碧螺春群体,Dongting Bi Luo Chun,China,"Dongting, Jiangsu",0,"The native, seed-propagated heirloom population of the Dongting mountains.","'Bi Luo Chun Population'. The original, small-leaf heirloom population from the Dongting mountains, famous for producing one of China's top ten green teas. The bushes are traditionally interplanted with fruit trees (like apricot, plum, and loquat), and the tea is said to absorb their fragrance. The finished tea consists of tiny, downy buds that are hand-rolled into a distinctive spiral shape.","Small, sprawling bushes with a less upright habit (Camellia sinensis var. sinensis).","Grows in the unique microclimate of the Dongting peninsula on Lake Tai, where the lake effect moderates temperatures and the soil is ideal. Intercropping with fruit trees is key to the traditional terroir.","The processing is incredibly laborious. The tiny, tender buds are pan-fired in a wok and simultaneously hand-rolled into their characteristic tight spiral shape. This requires immense skill to do without crushing the delicate buds.","Zero oxidation. The tea is pan-fired immediately after being picked to preserve its fresh, vibrant character.",No roasting. The pan-firing process serves to both kill-green and dry the tea.,Completely specialized. This heirloom cultivar is inextricably linked to the unique hand-processing and terroir of Dongting Bi Luo Chun.,drafted
chin-hsin,Chin Hsin,沁心,Soothing Heart;TRES #22,Taiwan,Nantou,2016,(Jin Xuan x Qing Xin) x Cui Yu,"'Soothing Heart'. One of the newest cultivars released by TRES (2016), it was bred for broad appeal, combining the creamy texture of Jin Xuan with the elegant floral notes of Qing Xin. It is a modern, well-rounded cultivar designed for producing high-quality light oolongs.","Upright, vigorous bush with good yield.",Adaptable to the mid-altitude oolong-producing regions of Taiwan.,"Processing aims to capture the best of both its parents, requiring careful withering to develop both the creamy and floral notes simultaneously.","Undergoes light oxidation (15-30%) to maintain a fresh, aromatic profile.","Unroasted, to preserve the delicate balance of its creamy and floral characteristics.","Specialized for light oolongs. It was bred to be a high-quality, modern oolong and is not intended for other styles.",drafted
cui-yu,Cui Yu,翠玉,Tai Cha #13;Jade Oolong,Taiwan,Nantou,1981,TRES-2022 x Tainung #80,"'Jade'. Developed in 1981 by Taiwan's Tea Research and Extension Station (TRES), Cui Yu was bred for its powerful, unforgettable floral aroma. Often compared to magnolia and lily, it has become a cornerstone of modern Taiwanese oolongs, beloved for its high yield and fragrant character.","Early-sprouting, high-yielding arbor type (Camellia sinensis var. sinensis)","Thrives in the misty, humid conditions of mid-to-high elevations (400-1,200m). Known for its vigor and good resistance to drought.","Cui Yu's signature floral aroma is best expressed through controlled, light processing that emphasizes its natural aromatics over heavy-roast flavors.",Typically undergoes light oxidation (15-30%) for oolongs. The extended withering process is crucial for developing its complex magnolia and gardenia notes.,"Generally unroasted or receives a very light, low-temperature finishing roast for drying purposes. Heavy roasting can easily overwhelm its delicate floral bouquet.","It is a versatile cultivar. While ideal for light oolongs, careful full oxidation can produce a uniquely aromatic black tea that retains some of its floral heritage.",drafted
da-hong-pao,Da Hong Pao,大红袍,,China,Wuyi Mountains (Fujian),,,"'Big Red Robe'. The most legendary and revered of all Wuyi Rock Oolongs. While the name refers to a few specific mother trees, most Da Hong Pao on the market is a masterful blend of other high-quality Wuyi cultivars (like Rou Gui and Shui Xian) made in the DHP style. It is the benchmark for the complex 'rock rhyme' (Yan Yun)—a unique mineral taste and texture derived from its rocky terroir.",,,,,,,drafted
da-ye-zhong,Da Ye Zhong,大叶种,Yunnan Big Leaf,China,Yunnan,0,"The native, ancient tea varietal of Yunnan Province.","'Big Leaf Variety'. This is not a single cultivar, but the broad-leaf botanical varietal, Camellia sinensis var. assamica, native to Yunnan. It is the genetic mother of all Yunnan tea and is known for its robustness, powerful flavor, and suitability for fermentation and aging. It is the raw material for both Pu'er and Dian Hong black tea.","Can grow into a large, ancient tree (gushu) or be cultivated as a bush (Camellia sinensis var. assamica).","Thrives in the subtropical, mountainous, and biodiverse environment of Yunnan Province, with many distinct regional terroirs (e.g., Yiwu, Bulang, Lincang).","This varietal's large, robust leaves are rich in polyphenols, making them ideal for the microbial fermentation of Pu'er tea and for creating complex, malty black teas. They can withstand significant processing.",Oxidation varies dramatically by style. Sheng Pu'er is essentially an unoxidized (0%) sun-dried green tea. Dian Hong and Shu Pu'er are fully oxidized (100%).,Roasting is generally not a feature. Sheng Pu'er is sun-dried. Dian Hong is dried with hot air. Shu Pu'er is dried after its fermentation pile is complete.,"Extremely versatile. As a foundational varietal, it is the basis for Yunnan's most famous and diverse tea styles, from green (Pu'er) to black (Dian Hong).",drafted
da-yeh-oolong,Da Yeh Oolong,大葉烏龍,Big Leaf Oolong,Taiwan,"Hualien, Yilan",1901,"Derived from Camellia sinensis var. assamica, brought from India.","'Big Leaf Oolong'. This refers to a large-leaf Assamica varietal that has been cultivated in Taiwan for over a century. While not as famous for oolong as the small-leaf sinensis varieties, it can be crafted into a unique, full-bodied oolong. Its most important role, however, was as the genetic foundation for Taiwan's modern black tea breeding programs, including being a parent of Hong Yu #18.","Large, robust bush or tree with large, drooping leaves (Camellia sinensis var. assamica).","Thrives in the hot, humid, and sunny low-altitude regions of eastern Taiwan.","As an Assamica varietal, its leaves are rich in polyphenols, making them ideal for full oxidation. They are robust and can withstand heavy rolling to break down cell walls and encourage a strong, malty flavor.","When made into black tea, it undergoes full oxidation (100%). When made into oolong, it requires heavy oxidation (50-70%) to tame its natural astringency.",No roasting. The tea is typically dried with hot air.,"Primarily used for black tea. While it can be made into a niche oolong, its chemical composition and leaf structure are perfectly suited for producing strong, malty black tea.",drafted
fo-shou,Fo Shou,佛手,Buddha's Hand,Taiwan,"Muzha, Taipei",1644,"Brought from Yongchun, Fujian, China.","'Buddha's Hand'. A large-leaf cultivar with origins in Yongchun, Fujian, that is also cultivated in Taiwan. It is named for its unusually large leaves, which resemble a Buddha's hand citron. In Taiwan, it is most famously used to create a distinct style of traditionally crafted, heavily roasted oolong in the Muzha area.","Large, sprawling bush with very large, broad, and dark green leaves (Camellia sinensis var. sinensis).","Grows well in the mid-elevation, humid environments of northern and central Taiwan.","The large leaves of Fo Shou contain a lot of water and require a long, slow withering process. Their size and substance make them ideal for withstanding the stress of heavy oxidation and deep, slow roasting.","Undergoes heavy oxidation (50-60%) to develop a deep, fruity, and honey-like flavor base that serves as the perfect canvas for roasting.","Very well-suited to heavy roasting. The traditional Muzha style involves multiple, slow bakes over charcoal, which builds immense depth, removes all astringency, and creates a signature caramel-like sweetness.","Specialized for traditional, heavily roasted oolongs. Its large leaf structure is not well-suited for light, 'green' oolong styles.",drafted
fuding-da-bai,Fuding Da Bai,福鼎大白,Fuding Big White;Hua Cha #1 (technical name),China,Fuding (Fujian),1885,Selected from the native Fuding heirloom population for its large buds.,"'Fuding Big White'. The premier cultivar of Chinese white tea, Fuding Da Bai is the genetic backbone of the world's most famous white teas, including Silver Needle. It is celebrated for its large, fleshy buds that are covered in a thick layer of silvery-white down, which produce a tea that is exceptionally delicate, sweet, and clean.","Vigorous, large, early-sprouting bush with good cold resistance (Camellia sinensis var. sinensis).","Prefers the mild, humid, and foggy coastal climate of Fuding, where the sea breezes and misty conditions are ideal for the slow withering process of white tea.","The entire philosophy of processing this cultivar is minimalism. The goal is to preserve the natural state of the leaf with as little human intervention as possible. The thick, downy buds are key to its character.","Oxidation is natural and very minimal (<5%), occurring slowly during the extended withering phase. There is no 'kill-green' step, allowing for a slight enzymatic change that develops its sweetness.",No roasting is involved. The tea is simply withered (in the sun or indoors depending on weather) and then gently dried at a low temperature to remove the final moisture.,"Primarily specialized for white tea, where it is the undisputed champion. While it can be made into a simple black tea, its structure and flavor are best expressed through the gentle processing of white tea.",drafted
goko,Goko,ごこう,,Japan,Kyoto (Uji),1950,,"'Enlightenment'. A classic and elite cultivar from Uji, Kyoto, Goko is one of the most important traditional cultivars for producing the highest grades of Gyokuro and Matcha. It is celebrated for its ability to develop an intense, profound, and savory 'umami' flavor when shaded, creating the archetypal 'brothy' character of Uji Gyokuro.",,,,,,,drafted
gui-hua-xiang,Gui Hua Xiang,桂花香,Osmanthus Dan Cong,China,Phoenix Mountains (Guangdong),1644,"One of the ten traditional fragrance types, selected from the native Phoenix Mountain population.","'Osmanthus Fragrance'. A classic and beloved Phoenix Dan Cong oolong fragrance type. It is celebrated for its delicate, elegant, and very clear aroma of sweet osmanthus flowers. It is less overwhelmingly powerful than Mi Lan Xiang, offering a more refined and purely floral experience.",Medium-sized Dan Cong arbor (Camellia sinensis var. sinensis).,"Grows in the high-altitude, misty environment of the Phoenix Mountains, which allows for the slow development of its delicate aromatic compounds.",delicate fragrance without introducing any heavier,"distracting notes. The withering and bruising steps are carefully managed to hit the perfect aromatic peak.,Undergoes a light-to-medium oxidation (25-35%) to develop its floral character while maintaining a fresh and clean profile.,Receives a very light","low-temperature finishing roast. This is done to stabilize the tea and enhance its sweetness without adding any baked or roasted flavors that would mask the osmanthus scent.,Highly specialized. This is a classic fragrance profile within the Dan Cong oolong family and is not made in any other style.
Ju Duo Zai,锯朵仔,'Saw-leaf'. A rare",old-grove Dan Cong varietal from the Phoenix Mountains,drafted
hong-yu,Hong Yu,红玉,Ruby;Tai Cha #18,Taiwan,Sun Moon Lake (Nantou),1999,C. sinensis var. assamica (Burma) x C. formosensis (Taiwanese Wild Tea),"'Ruby'. Taiwan's most famous and unique black tea, Hong Yu is a modern hybrid developed by TRES. It is celebrated for its truly singular and powerful aroma, a complex bouquet of cinnamon, wintergreen, and mint, layered over a rich, malty base. It is a world-class black tea that has become an icon of the Taiwanese tea industry.","Vigorous, large-leaf bush with a strong upright growth habit.","Prefers the warm, extremely humid, and stable climate around Sun Moon Lake, which mimics the conditions needed by its Assamica parentage.","The processing is a relatively standard black tea method (wither, roll, oxidize, dry), but the magic is in the unique genetics of the leaf itself. The goal is simply to fully express the inherent character of the cultivar.",Undergoes full and complete oxidation (100%) to develop the deep red color and the complex aromatic compounds that define it.,No roasting. The tea is dried with hot air to halt oxidation and reduce moisture content. All of its flavor comes from the leaf chemistry and oxidation.,"Completely specialized. Hong Yu was bred for the express purpose of making a world-class black tea, and its unique genetics make it unsuitable for other styles.",drafted
hong-yun,Hong Yun,红韵,Red Rhyme;TRES #21,Taiwan,Sun Moon Lake (Nantou),2008,Indian 'Kyang' varietal x Keemun varietal,"'Red Rhyme'. Another modern black tea masterpiece from TRES, Hong Yun was developed to have a more fruit-forward and floral profile compared to Hong Yu's spicy character. It is known for its bright, uplifting aroma of citrus fruits like yuzu and orange peel, combined with a sweet, lingering floral finish.","Vigorous bush, slightly smaller and more compact than Hong Yu.","Grows well in the warm, humid environment of Yuchi (Sun Moon Lake) and other black tea producing regions in Taiwan.","Like Hong Yu, the processing is a standard black tea method. The skill of the tea master lies in perfectly timing the oxidation to capture the peak of its citrus and floral aromatics.",Undergoes full oxidation (100%) to develop its bright red liquor and complex fruity-floral flavor profile.,No roasting. The tea is dried with hot air. Its flavor is derived from its unique parentage and the oxidation process.,"Completely specialized. Hong Yun was specifically bred to create a unique, aromatic black tea and is not used for other tea styles.",drafted
huang-guan-yin,Huang Guan Yin,黄观音,Yellow Goddess of Mercy,China,Wuyi Mountains (Fujian),1990,Huang Dan (Huang Jin Gui) x Tie Guan Yin,"'Yellow Goddess'. A successful modern hybrid cultivar, created by crossing Huang Jin Gui (for aroma) and Tie Guan Yin (for substance). It is an intensely aromatic tea, often presenting a bouquet of powerful floral notes like gardenia and magnolia, and has become a popular 'new style' of Wuyi Rock Oolong.","Vigorous, productive, early-sprouting hybrid bush (Camellia sinensis var. sinensis).","Bred to be vigorous and adaptable, it is grown in both Anxi and Wuyi. In Wuyi, the rocky terroir adds a mineral foundation to its powerful aroma.","This cultivar was designed for aroma, so the entire processing chain is geared towards preserving its highly volatile floral compounds. Gentle handling is key.",Oxidation is kept on the lighter side for an oolong (20-40%) to maintain the freshness and vibrancy of its floral character.,"Roasting, especially for the Yancha style, must be very light and at a low temperature. It is more of a finishing bake to stabilize the tea. A heavy roast would completely destroy the delicate aroma it was bred to produce.","Moderately versatile. It can be crafted into either a Wuyi or Anxi style, but it will always be a light, intensely fragrant oolong. It lacks the structure for heavy roasting or black tea production.",drafted
huang-jin-gui,Huang Jin Gui,黄金桂,Huang Dan;Golden Osmanthus,China,Anxi (Fujian),1801,Selected from the native Anxi heirloom population.,"'Golden Osmanthus'. A classic Anxi oolong celebrated for its singular, intense, and unmistakable aroma of sweet osmanthus flowers. It is an early-budding and high-yielding cultivar, prized for its ability to produce a light, crisp, and almost perfume-like tea that serves as a benchmark for pure floral aroma.","Early-budding, productive, spreading bush (Camellia sinensis var. sinensis).","Thrives in the Hukou area of Anxi county, where the specific terroir is said to produce the most fragrant expression of the cultivar.",The processing of Huang Jin Gui is a race against time to capture its volatile aromatics. The leaves are delicate and require gentle handling and a short processing window.,"Oxidation is very light (10-20%), just enough to eliminate the green, grassy notes and allow the powerful osmanthus fragrance to fully emerge.","Completely unroasted, aside from a final low-temperature bake for drying and stabilization. Any significant roasting would erase its signature character.","Not versatile at all. Huang Jin Gui is a master of a single craft: producing an intensely aromatic, light-bodied green oolong. Its entire value is based on this specialization.",drafted
huangshan-qunti-zhong,Huangshan Qunti Zhong,黄山群体种,Huangshan Maofeng,China,"Huangshan, Anhui",0,"The native, seed-propagated heirloom population of the Huangshan scenic area.","'Huangshan Population'. The local, genetically diverse heirloom population of tea plants from the famous Huangshan (Yellow Mountain) scenic area. This is the authentic material for creating Huangshan Maofeng, a beloved green tea known for its light, sweet, and refreshingly floral character, often with notes of magnolia.",Variable growth habits due to genetic diversity; typically medium-sized bushes (Camellia sinensis var. sinensis).,"Grows at high altitudes (700-800m) in the cloudy, misty, and cool environment of Huangshan. The rich soil and constant cloud cover create a very sweet and tender leaf.","The processing of Huangshan Maofeng is simpler than many famous teas. After a short withering, the leaves undergo a 'kill-green' and shaping process in a large pan, followed by a careful baking process to dry.","Zero oxidation. The 'kill-green' step is done quickly after harvest to lock in the fresh, vegetal and floral notes of the leaf.","The key step is a low-temperature bake ('hong bei'). Unlike the high heat of pan-firing, this gentle baking process slowly removes moisture while preserving the tea's delicate floral aroma and natural sweetness.","Completely specialized. This heirloom population is used exclusively to make the sweet, floral green tea known as Huangshan Maofeng.",drafted
inzatsu-131,Inzatsu 131,印雑131,N/A,Japan,Shizuoka,1960,Assamica varietal x a native Shizuoka Zairai,"An old and unique Japanese cultivar that is a hybrid of an Assamica variety and a native Zairai. It is known for its exotic, almost foreign aroma that is highly floral and sometimes spicy, reminiscent of teas from Darjeeling or Taiwan. It is a rare cultivar, prized by connoisseurs for its unique character.","Vigorous, semi-upright bush (Camellia sinensis hybrid).",Well-suited to the climate of Shizuoka where it was developed.,"Processing Inzatsu 131 aims to highlight its unique, non-Japanese aroma. The method can be adapted to push it towards a greener or a more oxidized style depending on the tea maker's goal.","Oxidation can vary. As a Sencha, it is unoxidized. However, it is often allowed a slight oxidation (like an oolong) to further develop its exotic floral and spicy notes.",Roasting is typically light to preserve its unique aroma.,"Highly versatile. Its unique hybrid genetics make it a rare cultivar that can be successfully crafted into a wide range of styles, from a unique green tea to a fragrant oolong or black tea.",drafted
jin-xuan,Jin Xuan,金萱,Golden Lily;Milk Oolong;TRES #12,Taiwan,Nantou,1981,Ying Zhi Hong Xin x Tainung #8,"'Golden Lily'. A celebrated modern cultivar developed by Taiwan's TRES in 1981, it is famous for its distinct, natural 'nai xiang' or 'milk fragrance'. This creamy, buttery, and smooth profile, combined with its high yield and adaptability, has made Jin Xuan one of the most popular and beloved teas in Taiwan and beyond.","Vigorous, adaptable, high-yielding bush with distinctive round, thick leaves (Camellia sinensis var. sinensis).","Highly adaptable, thriving in a wide range of environments from lower elevations in Nantou to high altitudes on Alishan (200-1,600m).","The processing for Jin Xuan oolong is specifically designed to highlight its unique, inherent 'nai xiang' (milk fragrance). Careful withering is key to developing this signature trait.","For oolong, oxidation is light (15-25%) to preserve the creamy notes. For black tea, it undergoes full oxidation (100%), which transforms the creaminess into a honeyed sweetness.","Typically unroasted for the classic Milk Oolong style to maintain its fresh, creamy character.","Very versatile. It is a star performer as a light oolong and also makes an exceptionally smooth and sweet black tea, making it a valuable and flexible cultivar for farmers.",drafted
ju-duo-zai,Ju Duo Zai,锯朵仔,Saw-leaf Dan Cong,China,Phoenix Mountains (Guangdong),0,"An old, native Phoenix Mountain varietal.","'Saw-leaf'. A rare, old-grove Dan Cong varietal from the Phoenix Mountains, named for the sharply serrated, saw-like edges of its leaves. It is a rustic and powerful tea, known for its wild, herbal, and stone fruit character, representing an older, less-manicured style of Dan Cong.","Medium-sized Dan Cong arbor with distinctive, sharply serrated leaves (Camellia sinensis var. sinensis).","Grows in the old tea gardens of the Phoenix Mountains, often from trees that are quite old. The specific terroir contributes to its rustic and deep flavor.","Processing this old-grove varietal follows traditional methods. The tea master aims to capture the full, complex character of the leaves rather than targeting a single, narrow fragrance profile.","Undergoes a medium-to-heavy oxidation (40-55%) to develop its deep fruit notes and complex, rustic flavor base.","Typically receives a medium charcoal roast to integrate its powerful flavors, add depth, and ensure the tea will age well.","Highly specialized. Ju Duo Zai is a specific, old-style Dan Cong oolong appreciated for its rustic power and complexity.",drafted
kanayamidori,Kanayamidori,かなやみどり,,Japan,Shizuoka,1970,,"A mid-budding cultivar known for its distinctive, slightly sweet, and milky or vanilla-like aroma. It is a popular choice for both Sencha and Fukamushi Sencha, and its unique fragrance also makes it a favorite for producing aromatic, lightly roasted Hojicha.",,,,,,,drafted
kirari-31,Kirari 31,きらり31,Kirari,Japan,Miyazaki,2015,'Saemidori' x a hybrid of 'Sofu' and 'Makura-Cd86'.,"A very new Japanese green tea cultivar registered in 2015. It was bred for its high resistance to disease and its suitability for producing a very fragrant and low-astringency Kamairicha (pan-fired green tea). It is known for its bright, clear liquor and a sweet, slightly milky, and floral aroma.","Early-budding, vigorous bush with excellent disease resistance (Camellia sinensis var. sinensis).","Thrives in the warm climates of southern Japan, particularly in regions that specialize in Kamairicha production.","Kirari 31 was specifically bred with pan-firing in mind. Its chemical composition responds well to the high, dry heat of this method, creating a fragrant tea without developing bitterness.","Zero oxidation. The 'kill-green' step, whether by pan-firing or steaming, is done immediately after harvest.","For its primary style, Kamairicha, the pan-firing serves as the 'roast', creating a gentle nutty character. For Sencha, it would receive a standard light final bake.","Moderately versatile. While it excels as a pan-fired tea, it can also produce a high-quality steamed Sencha, making it a valuable modern cultivar.",drafted
