id,name,country,province,altitude,climate
huoshan,Huoshan,China,,,
india,India,India,Various States,500-2500m,"Diverse climates from tropical to highland, famous for black tea"
japan,Japan,Japan,Various Prefectures,50-800m,"Temperate climate with four distinct seasons, ideal for green tea"
java,Java,Indonesia,,,
jeju,Jeju,South Korea,,,
jian-ou-city-fujian,"Jian'ou City, Fujian",China,Fujian,200-600m,"Historic tea region, grows Shui Xian among others"
jinggu,Jinggu,China,,,
jingmai,Jingmai,China,,,
jinzhai-county-lu-an,"Jinzhai County, Lu'an",China,Anhui,400-900m,Mountain county within Lu'an known for high quality green tea
junshan,Junshan,China,,,
junshan-island-hunan,"Junshan Island, Hunan",China,Hunan,50-100m,Lake island with unique microclimate for yellow tea
kagoshima-prefecture,Kagoshima Prefecture,Japan,Kagoshima,100-800m,Southernmost major tea region with volcanic soil
kandy,Kandy,Sri Lanka,,,
kenya,Kenya,Kenya,,,
kunlu-mountain,Kunlu Mountain,China,Yunnan,,
kunming,Kunming,China,,,
kyoto-prefecture,Kyoto Prefecture,Japan,Kyoto,100-600m,Historic tea region with traditional cultivation methods
lam-dong-province,Lam Dong Province,Vietnam,Lam Dong,800-1500m,High plateau region suitable for tea cultivation
li-shan,Li Shan,Taiwan,,,
lincang,Lincang,China,,,
lincang-prefecture-yunnan,"Lincang Prefecture, Yunnan",China,Yunnan,1200-2000m,High altitude region with ancient tea forests
lishan-nantou,"Lishan, Nantou",Taiwan,Nantou,1800-2300m,High mountain area producing premium high-altitude oolongs
lu-an,Lu'an,China,,,
lu-an-city-anhui,"Lu'an City, Anhui",China,Anhui,300-800m,"Rolling hills region, famous for Lu An Gua Pian production"
lugu,Lugu,Taiwan,,,
lugu-township-nantou,"Lugu Township, Nantou",Taiwan,Nantou,700-1200m,Mountain township known for oolong production
lushan,Lushan,China,,,
mae-salong-chiang-rai,"Mae Salong, Chiang Rai",Thailand,Chiang Rai,800-1300m,Chinese-settled area with traditional tea cultivation
mahei,Mahei,China,Yunnan,1300m (approx.),"Village within the Yiwu tea region, Xishuangbanna; ancient tea forests, source of some of the most sought-after raw material in the pu-erh world."
meghalaya,Meghalaya,India,,,
mengding-mountain-ya-an,"Mengding Mountain, Ya'an",China,Sichuan,800-1400m,"Historic tea mountain, birthplace of tea cultivation in China"
menghai,Menghai,China,,,
mengku-township-lincang,"Mengku Township, Lincang",China,Yunnan,1200-1800m,Famous township for large leaf tea varieties
mengla,Mengla,China,,,
miaoli-county,Miaoli County,Taiwan,Miaoli,300-1000m,Central Taiwan hills suitable for various tea types
mie-prefecture,Mie Prefecture,Japan,Mie,100-500m,Central Japan with mountain regions for quality tea
mingjian-township-nantou,"Mingjian Township, Nantou",Taiwan,Nantou,200-800m,Lower altitude area for commercial tea production
miyazaki-prefecture,Miyazaki Prefecture,Japan,Miyazaki,100-600m,Warm southern climate suitable for early harvest cultivars
moc-chau-son-la,"Moc Chau, Son La",Vietnam,Son La,1000-1400m,High plateau area known for tea and dairy
muzha,Muzha,Taiwan,Taipei,,Tea-growing district of southern Taipei established by Fujian immigrants bringing Tie Guan Yin cuttings; distinct local microclimate and soil composition from the mainland origin.
muzha-district-taipei,"Muzha District, Taipei",Taiwan,Taipei,100-400m,Urban tea region known for Tie Guan Yin
naka,Naka,China,Yunnan,1600m (approx.),"Village on Nannuo Mountain (one of the ancient six tea mountains) in Menghai county, Xishuangbanna; ancient gardens cultivated by the Lahu ethnic minority."
nangang-district-taipei,"Nangang District, Taipei",Taiwan,Taipei,100-300m,Urban area with traditional tea cultivation
nanjing,Nanjing,China,,,
nantou,Nantou,Taiwan,,,
nantou-county,Nantou County,Taiwan,Nantou,300-2000m,Central Taiwan mountains with diverse altitude zones
nara-prefecture,Nara Prefecture,Japan,Nara,200-800m,Historic region with traditional tea cultivation
nepal,Nepal,Nepal,,,
new-taipei-city,New Taipei City,Taiwan,New Taipei,100-800m,Northern Taiwan with suitable climate for green tea and oolong
nilgiri,Nilgiri,India,,,
nishio-city-aichi,"Nishio City, Aichi",Japan,Aichi,50-200m,Major Matcha production center with ideal climate
nuwara-eliya,Nuwara Eliya,Sri Lanka,,,
pasha,Pasha,China,Yunnan,1700m (approx.),"Village in Menghai county, Xishuangbanna, with ancient tea gardens tended by the Hani ethnic minority."
phoenix-mountain,Phoenix Mountain,China,,,
phoenix-mountains-chaozhou,"Phoenix Mountains, Chaozhou",China,Guangdong,400-1200m,"High altitude mountains with ancient tea trees, famous for Dan Cong oolongs"
pinghe-county-fujian,"Pinghe County, Fujian",China,Fujian,400-800m,Mountain region growing various oolong cultivars
pinglin-district-new-taipei,"Pinglin District, New Taipei",Taiwan,New Taipei,200-600m,Famous for Baozhong oolong production
pingyang,Pingyang,China,,,
pu-er,Pu'er,China,,,
pu-er-city-yunnan,"Pu'er City, Yunnan",China,Yunnan,800-1800m,"Central Yunnan tea region, namesake of Pu-erh tea"
qimen,Qimen,China,,,
qimen-county-anhui,"Qimen County, Anhui",China,Anhui,300-800m,Famous region for Keemun black tea production
rize,Rize,Turkey,,,
saitama-prefecture,Saitama Prefecture,Japan,Saitama,100-400m,Temperate region near Tokyo with tea cultivation
shan-lin-xi-nantou,"Shan Lin Xi, Nantou",Taiwan,Nantou,1400-1800m,High mountain area known for premium oolongs
shifeng-mountain-hangzhou,"Shifeng Mountain, Hangzhou",China,Zhejiang,150-300m,"Core West Lake scenic area, optimal terroir for premium Long Jing"
shizuoka,Shizuoka,Japan,Shizuoka,100-800m,"Mount Fuji region, largest tea producing area in Japan"
sichuan,Sichuan,China,,,
sikkim,Sikkim,India,,,
son-la-province,Son La Province,Vietnam,Son La,600-1400m,Northwest Vietnam mountains with tea gardens
sri-lanka,Sri Lanka,Sri Lanka,,,
sun-moon-lake,Sun Moon Lake,Taiwan,,,
sun-moon-lake-nantou,"Sun Moon Lake, Nantou",Taiwan,Nantou,700-900m,Lake region with unique microclimate for black tea
suzhou,Suzhou,China,,,
taipei,Taipei,Taiwan,,,
taiping,Taiping,China,,,
taiping-county-anhui,"Taiping County, Anhui",China,Anhui,400-900m,Historic mountain region known for Monkey Picked tea
taitung,Taitung,Taiwan,,,
taiwan,Taiwan,Taiwan,,,
taohua-feng-huangshan,"Taohua Feng, Huangshan",China,Anhui,800-1000m,Peach Blossom Peak area with unique microclimate
tongmu-village-wuyi,"Tongmu Village, Wuyi",China,Fujian,400-800m,"High altitude village, birthplace of Lapsang Souchong"
tongxiang,Tongxiang,China,,,
uji,Uji,Japan,Kyoto,50-300m,Famous for high-grade Matcha and Gyokuro production
uji-city-kyoto,"Uji City, Kyoto",Japan,Kyoto,50-300m,Famous for high-grade Matcha and Gyokuro production
uva,Uva,Sri Lanka,,,
valle-del-cauca,Valle del Cauca,Colombia,Valle del Cauca,1200-1800m,High altitude valley suitable for tea cultivation
vietnam,Vietnam,Vietnam,,,
wawee-chiang-rai,"Wawee, Chiang Rai",Thailand,Chiang Rai,1000-1400m,High altitude area for premium tea production
wazuka,Wazuka,Japan,,,
wazuka-town-kyoto,"Wazuka Town, Kyoto",Japan,Kyoto,200-500m,Mountain area known for traditional tea cultivation
wenshan,Wenshan,Taiwan,,,
west-lake-hangzhou,"West Lake, Hangzhou",China,Zhejiang,100-300m,"Lake microclimate with morning mist, perfect for Long Jing cultivation"
wudong-mountain-chaozhou,"Wudong Mountain, Chaozhou",China,Guangdong,800-1200m,"Highest peak in Phoenix Mountains, produces the most prized Dan Cong teas"
wuliang-mountain,Wuliang Mountain,China,,,
wuyi,Wuyi,China,,,
wuyi-mountains-fujian,"Wuyi Mountains, Fujian",China,Fujian,200-800m,"UNESCO World Heritage site, famous for rock teas and red cliffs"
wuzhou,Wuzhou,China,Guangxi,,City on the Xijiang river; consistent subtropical heat and humidity supports liu bao's slow post-fermentation aging.
xiaguan,Xiaguan,China,,,
xiapu-county-fujian,"Xiapu County, Fujian",China,Fujian,200-600m,"Coastal region near Fuding, also grows Da Bai cultivar"
xiniu-tang,Xiniu Tang,China,Yunnan,,"Named micro-origin within the greater Yiwu tea area, Xishuangbanna; each named micro-origin carries slightly different soil, elevation, and microclimate."
xinyang,Xinyang,China,,,
xishuangbanna-prefecture,Xishuangbanna Prefecture,China,Yunnan,500-1800m,Tropical region with ancient tea gardens and diverse terroir
ya-an,Ya'an,China,,,
yame,Yame,Japan,,,
yi-bang-village-yunnan,"Yi Bang Village, Yunnan",China,"Northern Yiwu, Mengla County, Xishuangbanna, Yunnan",,
yilan-county,Yilan County,Taiwan,Yilan,100-800m,Northeast Taiwan with humid climate
yingde,Yingde,China,,,
yiwu,Yiwu,China,,,
yiwu-mountain-yunnan,"Yiwu Mountain, Yunnan",China,Yunnan,1000-1800m,Historic Pu-erh tea region with ancient tea trees
yiwu-township-xishuangbanna,"Yiwu Township, Xishuangbanna",China,Yunnan,1000-1800m,Historic Pu-erh tea region with ancient tea trees
yu-an-district-lu-an,"Yu'an District, Lu'an",China,Anhui,300-700m,Central Lu'an area with suitable terrain for tea cultivation
yuan-an,Yuan'an,China,,,
yuchi-township-nantou,"Yuchi Township, Nantou",Taiwan,Nantou,600-1000m,"Sun Moon Lake area, famous for Ruby black tea"
yunnan,Yunnan,China,,,
zhao-an-county-fujian,"Zhao'an County, Fujian",China,Fujian,300-700m,Southern Fujian region with suitable climate for Shui Xian
zhejiang,Zhejiang,China,,,
zhenghe,Zhenghe,China,,,
zhenghe-county-fujian,"Zhenghe County, Fujian",China,Fujian,400-900m,Mountain region known for white tea production
zhengyan-area-wuyi,"Zhengyan Area, Wuyi",China,Fujian,200-400m,"Core Wuyi area with unique rock soil, most prized for oolongs"
zhushan-township-nantou,"Zhushan Township, Nantou",Taiwan,Nantou,300-1000m,Mountain area with bamboo forests and tea gardens
