name_english,name_native,description,origin_country,origin_region,development_year,scientific_name,historical_background,growth_habits,leaf_characteristics,image_url,harvest_seasons,processing_suitability
Bi Luo Chun Qunti,碧螺春群体,"'Bi Luo Chun Population'. The original, small-leaf heirloom population from the Dongting mountains, famous for producing one of China's top ten green teas. The bushes are traditionally interplanted with fruit trees (like apricot, plum, and loquat), and the tea is said to absorb their fragrance. The finished tea consists of tiny, downy buds that are hand-rolled into a distinctive spiral shape.",China,"Dongting, Jiangsu",0,,,,,,,
Chin Hsin,沁心,"'Soothing Heart'. One of the newest cultivars released by TRES (2016), it was bred for broad appeal, combining the creamy texture of Jin Xuan with the elegant floral notes of Qing Xin. It is a modern, well-rounded cultivar designed for producing high-quality light oolongs.",Taiwan,Nantou,2016,,,,,,,
Cui Yu,翠玉,"'Jade'. Developed in 1981 by Taiwan's Tea Research and Extension Station (TRES), Cui Yu was bred for its powerful, unforgettable floral aroma. Often compared to magnolia and lily, it has become a cornerstone of modern Taiwanese oolongs, beloved for its high yield and fragrant character.",Taiwan,Nantou,1981,,,,,,,
Da Hong Pao,大红袍,"'Big Red Robe'. The most legendary and revered of all Wuyi Rock Oolongs. While the name refers to a few specific mother trees, most Da Hong Pao on the market is a masterful blend of other high-quality Wuyi cultivars (like Rou Gui and Shui Xian) made in the DHP style. It is the benchmark for the complex 'rock rhyme' (Yan Yun)—a unique mineral taste and texture derived from its rocky terroir.",China,Wuyi Mountains (Fujian),Ming Dynasty,,,,,,,
Da Ye Zhong,大叶种,"'Big Leaf Variety'. This is not a single clonal cultivar but rather the botanical varietal Camellia sinensis var. assamica, which is native to Yunnan province and the surrounding regions. It is the genetic mother of all Yunnan teas, characterized by its large leaves and ability to grow into a tall tree. It forms the basis for the rich, complex flavors of Pu'er and the malty sweetness of Dian Hong black tea.",China,Yunnan,0,,,,,,,
Da Yeh Oolong,大葉烏龍,"'Big Leaf Oolong'. This refers to a large-leaf Assamica varietal that has been cultivated in Taiwan for over a century. While not as famous for oolong as the small-leaf sinensis varieties, it can be crafted into a unique, full-bodied oolong. Its most important role, however, was as the genetic foundation for Taiwan's modern black tea breeding programs, including being a parent of Hong Yu #18.",Taiwan,"Hualien, Yilan",1901,,,,,,,
Fo Shou,佛手,"'Buddha's Hand'. A large-leaf cultivar with origins in Yongchun, Fujian, that is also cultivated in Taiwan. It is named for its unusually large leaves, which resemble a Buddha's hand citron. In Taiwan, it is most famously used to create a distinct style of traditionally crafted, heavily roasted oolong in the Muzha area.",Taiwan,"Muzha, Taipei",1644,,,,,,,
Fuding Da Bai,福鼎大白,"'Fuding Big White'. The premier cultivar of Chinese white tea, Fuding Da Bai is the genetic backbone of the world's most famous white teas, including Silver Needle. It is celebrated for its large, fleshy buds that are covered in a thick layer of silvery-white down, which produce a tea that is exceptionally delicate, sweet, and clean.",China,Fuding (Fujian),1885,,,,,,,
Goko,ごこう,"'Enlightenment'. A classic and elite cultivar from Uji, Kyoto, Goko is one of the most important traditional cultivars for producing the highest grades of Gyokuro and Matcha. It is celebrated for its ability to develop an intense, profound, and savory 'umami' flavor when shaded, creating the archetypal 'brothy' character of Uji Gyokuro.",Japan,Kyoto (Uji),1950,,,,,,,
Gui Hua Xiang,桂花香,"'Osmanthus Fragrance'. A classic and beloved Phoenix Dan Cong oolong fragrance type. It is celebrated for its delicate, elegant, and very clear aroma of sweet osmanthus flowers. It is less overwhelmingly powerful than Mi Lan Xiang, offering a more refined and purely floral experience.",China,Phoenix Mountains (Guangdong),1644,,,,,,,
Hong Yu,红玉,"'Ruby'. Taiwan's most famous and unique black tea, Hong Yu is a modern hybrid developed by TRES. It is celebrated for its truly singular and powerful aroma, a complex bouquet of cinnamon, wintergreen, and mint, layered over a rich, malty base. It is a world-class black tea that has become an icon of the Taiwanese tea industry.",Taiwan,Sun Moon Lake (Nantou),1999,,,,,,,
Hong Yun,红韵,"'Red Rhyme'. Another modern black tea masterpiece from TRES, Hong Yun was developed to have a more fruit-forward and floral profile compared to Hong Yu's spicy character. It is known for its bright, uplifting aroma of citrus fruits like yuzu and orange peel, combined with a sweet, lingering floral finish.",Taiwan,Sun Moon Lake (Nantou),2008,,,,,,,
Huang Guan Yin,黄观音,"'Yellow Goddess'. A successful modern hybrid cultivar, created by crossing Huang Jin Gui (for aroma) and Tie Guan Yin (for substance). It is an intensely aromatic tea, often presenting a bouquet of powerful floral notes like gardenia and magnolia, and has become a popular 'new style' of Wuyi Rock Oolong.",China,Wuyi Mountains (Fujian),1990,,,,,,,
Huang Jin Gui,黄金桂,"'Golden Osmanthus'. A classic Anxi oolong celebrated for its singular, intense, and unmistakable aroma of sweet osmanthus flowers. It is an early-budding and high-yielding cultivar, prized for its ability to produce a light, crisp, and almost perfume-like tea that serves as a benchmark for pure floral aroma.",China,Anxi (Fujian),1801,,,,,,,
Huangshan Qunti Zhong,黄山群体种,"'Huangshan Population'. The local, genetically diverse heirloom population of tea plants from the famous Huangshan (Yellow Mountain) scenic area. This is the authentic material for creating Huangshan Maofeng, a beloved green tea known for its light, sweet, and refreshingly floral character, often with notes of magnolia.",China,"Huangshan, Anhui",0,,,,,,,
Inzatsu 131,印雑131,"An old and unique Japanese cultivar that is a hybrid of an Assamica variety and a native Zairai. It is known for its exotic, almost foreign aroma that is highly floral and sometimes spicy, reminiscent of teas from Darjeeling or Taiwan. It is a rare cultivar, prized by connoisseurs for its unique character.",Japan,Shizuoka,1960,,,,,,,
Jin Xuan,金萱,"'Golden Lily'. A celebrated modern cultivar developed by Taiwan's TRES in 1981, it is famous for its distinct, natural 'nai xiang' or 'milk fragrance'. This creamy, buttery, and smooth profile, combined with its high yield and adaptability, has made Jin Xuan one of the most popular and beloved teas in Taiwan and beyond.",Taiwan,Nantou,1981,,,,,,,
Ju Duo Zai,锯朵仔,"'Saw-leaf'. A rare, old-grove Dan Cong varietal from the Phoenix Mountains, named for the sharply serrated, saw-like edges of its leaves. It is a rustic and powerful tea, known for its wild, herbal, and stone fruit character, representing an older, less-manicured style of Dan Cong.",China,Phoenix Mountains (Guangdong),0,,,,,,,
Kanayamidori,かなやみどり,"A mid-budding cultivar known for its distinctive, slightly sweet, and milky or vanilla-like aroma. It is a popular choice for both Sencha and Fukamushi Sencha, and its unique fragrance also makes it a favorite for producing aromatic, lightly roasted Hojicha.",Japan,Shizuoka,1970,,,,,,,
Kirari 31,きらり31,"A very new Japanese green tea cultivar registered in 2015. It was bred for its high resistance to disease and its suitability for producing a very fragrant and low-astringency Kamairicha (pan-fired green tea). It is known for its bright, clear liquor and a sweet, slightly milky, and floral aroma.",Japan,Miyazaki,2015,,,,,,,
Komakage,こまかげ,"An excellent shading cultivar from Aichi prefecture, known for its strong, upright growth and resistance to cold. It produces a high-quality Tencha for Matcha with a good balance of umami and a unique, slightly savory, almost spicy character that distinguishes it from the classic Uji cultivars.",Japan,Aichi,1970,,,,,,,
Koshun,香駿,"'Fragrance of Shizuoka'. A remarkable modern cultivar bred specifically for its astonishingly powerful and unique floral aroma. It produces a Sencha with a perfume-like fragrance reminiscent of lily-of-the-valley, jasmine, and cherry leaves, offering a completely different experience from classic, umami-focused Japanese green teas.",Japan,Shizuoka,2000,,,,,,,
Liu An Gua Pian,六安瓜片,"'Lu'an Melon Slice'. A unique and famous Chinese green tea from Anhui, notable for what it lacks: it is made entirely from mature leaves, with all buds and stems meticulously removed. The finished tea, resembling melon seeds, is baked, not pan-fired, giving it a complex, toasty, and vegetal flavor.",China,"Lu'an, Anhui",1644,,,,,,,
Long Jing #43,龙井43号,"The most widespread and commercially important modern cultivar for West Lake Long Jing tea. Developed in the 1970s, it is prized by farmers for its early budding (allowing for a prized pre-Qingming harvest), beautiful flat-leaf appearance, high yield, and a classic, approachable flavor profile of toasted chestnuts and sweet soybeans.",China,Hangzhou (Zhejiang),1970,,,,,,,
Long Jing Qunti Zhong,龙井群体种,"'Long Jing Population'. This is not a single cultivar, but the original, genetically diverse heirloom population of tea plants from the West Lake region, propagated by seed for centuries. Connoisseurs prize it for its deeper, more complex, and nuanced flavor profile compared to the more uniform modern clones like #43.",China,Hangzhou (Zhejiang),0,,,,,,,
Mao Xie,毛蟹,"'Hairy Crab'. An Anxi oolong cultivar named for the fine, downy hairs on its fresh leaves and the slightly curled shape of the brewed leaf, thought to resemble a crab. It is known for its forward, fruity-floral aroma, high yield, and early budding, making it a commercially important variety in Anxi.",China,Anxi (Fujian),1901,,,,,,,
Mei Zhan,梅占,"A highly versatile Fujian cultivar, originally from Anxi. While it can be made into a pleasant oolong, it has gained modern fame as one of the primary cultivars used to produce Jin Jun Mei, an elite, bud-only black tea from the Wuyi region. Its inherent sweetness and fruity notes make it an excellent base for high-end black teas.",China,"Wuyi, Anxi",1801,,,,,,,
Meiryoku,めいりょく,"A late-budding cultivar known for producing a Sencha with a refreshing, slightly floral aroma and a unique, bright flavor with hints of citrus and spice. It has a very favorable chemical composition with high amino acid content and is also noted for its strong resistance to common tea plant diseases.",Japan,Shizuoka,1979,,,,,,,
Mengding Ganlu,蒙顶甘露,"'Mengding Sweet Dew'. An ancient and celebrated green tea from Mengding Mountain in Sichuan, often cited as one of the oldest forms of tribute tea in China. It is known for its delicate, tightly rolled leaves covered in fine down, and a fresh, complex flavor profile that balances umami, sweetness, and a lasting floral aroma.",China,"Mengding Mountain, Sichuan",0,,,,,,,
Mengku Da Ye Zhong,勐库大叶种,"'Mengku Big Leaf Variety'. A highly sought-after sub-variety of the Da Ye (Assamica) varietal, native to the Mengku region of Lincang, Yunnan. It is celebrated for its 'dual characteristics' of strong bitterness and powerful aroma, combined with a thick texture and an exceptionally fast and intense returning sweetness ('huigan').",China,"Lincang (Mengku), Yunnan",0,,,,,,,
Mi Lan Xiang,米兰香,"'Honey Orchid Fragrance'. The most popular, accessible, and representative of all Phoenix Dan Cong oolongs. It is beloved for its intoxicating and forward aroma that beautifully mimics the scent of honey, orchids, and ripe stone fruit, all built upon the classic mineral-rich foundation of its mountainous terroir.",China,Phoenix Mountains (Guangdong),1644,,,,,,,
Oku Yutaka,おくゆたか,"'Late Abundant'. A late-budding hybrid of Yabukita and Yutakamidori, Oku Yutaka combines the robust body of its parents with a refined, less astringent flavor. It is a high-yielding and disease-resistant cultivar, valued for producing a full-bodied Sencha with a rich flavor and a bright green color.",Japan,Shizuoka,1989,,,,,,,
Okuhikari,おくひかり,"'Late Light'. A late-budding cultivar with a refreshing, brisk mouthfeel and a distinct floral and woody character that sets it apart from the more common vegetal or umami-driven Senchas. It is a versatile and reliable cultivar for farmers.",Japan,Shizuoka,1978,,,,,,,
Okumidori,おくみどり,"'Late Green'. A versatile and popular late-budding cultivar, harvested about a week after Yabukita. It is prized for its well-rounded, rich, and creamy flavor profile, low astringency, and a refreshing, slightly pine-like aroma. Its balanced character and late harvest make it an excellent choice for blending and for high-quality Matcha.",Japan,Shizuoka,1974,,,,,,,
Qi Lan,奇兰,"'Rare Orchid' or 'Marvelous Orchid'. A highly aromatic cultivar that originated in southern Fujian but has found a second home in the Wuyi Mountains. It is celebrated for its powerful and persistent orchid-like fragrance, which it can express beautifully as both a greener Anxi-style oolong and a more robust, roasted Wuyi-style rock oolong.",China,"Wuyi Mountains, Anxi",1801,,,,,,,
Qi Men Zhong,祁门种,"'Qimen Species'. This is not a single clone, but the local heirloom population of small-leaf tea bushes from Qimen county, Anhui. It is the one and only material used for making Keemun black tea. When processed into black tea, it produces a famously complex aroma with notes of wine, rose, pine, and dried fruit, earning it the title 'the Burgundy of tea'.",China,Qimen (Anhui),1875,,,,,,,
Qing Xin,青心,"'Green Heart'. The undisputed king of Taiwanese oolongs, Qing Xin is celebrated for its ability to perfectly express the unique terroir of Taiwan's high mountains. It produces a tea with an ethereal, elegant character, a remarkably thick and creamy mouthfeel, and a delicate floral aroma of lilac and gardenia. It is the benchmark for high-end Taiwanese tea.",Taiwan,"High Mountains (Lishan, Alishan)",1885,,,,,,,
Qing Xin Da Mao,青心大冇,"'Green Heart Big Hairy'. The indispensable cultivar for creating Taiwan's famous Oriental Beauty oolong. This tea's unique honey and muscat grape flavor is not from the leaf itself, but from its reaction to the bites of a tiny insect, the tea leafhopper. The cultivar's specific chemistry is perfectly suited to this remarkable transformation.",Taiwan,"Hsinchu, Miaoli",1885,,,,,,,
Qing Xin Gan Zhi,青心柑仔,"'Green Heart Orange'. An older, traditional Taiwanese oolong cultivar that was more prominent before the widespread adoption of Qing Xin Oolong. It is known for producing a clean, fragrant, and slightly more vegetal Baozhong oolong and is a parent of the famous Si Ji Chun cultivar.",Taiwan,Taipei,1850,,,,,,,
Que She,雀舌,"'Sparrow's Tongue'. A rare and highly sought-after Wuyi Rock Oolong named for its small, pointed leaves. It is celebrated for its exceptionally refined and elegant character, a high, sharp floral fragrance, and a very clean, mineral-driven taste. It is often processed with a lighter roast to preserve its delicate nature.",China,Wuyi Mountains (Fujian),1644,,,,,,,
Rou Gui,肉桂,"'Cassia' or 'Cinnamon'. Originally a supporting actor in the Wuyi Mountains, Rou Gui has become a superstar in its own right, now one of the most popular and planted Yancha cultivars. It is celebrated for its distinctive and captivating spicy-sweet aroma of cinnamon and ginger, which is layered over the classic Wuyi mineral-rich base.",China,Wuyi Mountains (Fujian),Qing Dynasty,,,,,,,
Saemidori,さえみどり,"'Clear Green'. A modern elite cultivar celebrated for its incredibly vibrant emerald green color, powerful umami, and remarkable sweetness with very little bitterness. It is a hybrid of Yabukita and the umami-rich Asatsuyu, and is often used for producing high-end, competition-grade Sencha, Gyokuro, and Matcha.",Japan,Fukuoka,1990,,,,,,,
Samidori,さみどり,"A foundational and highly reliable cultivar from Uji, Kyoto. It is a versatile workhorse for the high-end shaded tea industry, particularly for Matcha. It is prized for its excellent, vibrant green color, good umami, and a smooth, well-balanced flavor that is ideal for creating both thick ('koicha') and thin ('usucha') Matcha.",Japan,Kyoto (Uji),1950,,,,,,,
Shi Da Cha,柿大茶,"'Persimmon Big Tea'. A truly unique and visually stunning cultivar from Taiping county in Anhui. It is defined by its massive leaves, which can be much larger than a person's hand. It is used exclusively to make Tai Ping Hou Kui, a green tea where the leaves are painstakingly pressed by hand, resulting in a long, flat, and beautiful finished product.",China,"Taiping, Anhui",1901,,,,,,,
Shizu-7132,静岡7132,"A famous un-registered cultivar from Shizuoka, renowned for its intense and unmistakable aroma of 'sakura-mochi'—a sweet, cherry blossom and glutinous rice scent. It is a natural mutation of Yabukita and offers a very popular and distinct aromatic experience.",Japan,Shizuoka,1971,,,,,,,
Shui Jin Gui,水金龟,"'Golden Water Turtle'. Another of the four 'Si Da Ming Cong', this cultivar is steeped in a legend of being washed away by a flood and thriving in its new home. It is celebrated for its vibrant and highly fragrant character, striking a beautiful balance between bright, effusive floral notes (like gardenia and osmanthus) and the classic, creamy mineral base of a top-tier rock oolong.",China,Wuyi Mountains (Fujian),1870,,,,,,,
Shui Xian,水仙,"'Water Sprite' or 'Narcissus'. A foundational Fujian oolong cultivar, famous for its versatility and profound transformation with age and processing. Young or lightly roasted Shui Xian is floral and bright, while heavily roasted or aged 'Lao Cong' (Old Grove) versions reveal deep, complex notes of aged wood, moss, and a resonant sweetness.",China,Wuyi Mountains (Fujian),1870,,,,,,,
Si Ji Chun,四季春,"'Four Seasons Spring'. A famously prolific and aromatic cultivar, discovered as a natural cross in the 1980s. It's named for its ability to be harvested almost year-round, while still producing a tea with an explosive, forward, and highly accessible floral aroma, primarily of gardenia and jasmine.",Taiwan,Nantou,1980,,,,,,,
Sofu,そうふう / 蒼風,"'Blue Wind'. A modern aromatic cultivar, similar to Koshun, that is prized for its striking and unique fragrance. It produces a Sencha or light oolong with a powerful perfume-like aroma of black currant, citrus, and mint, representing a new wave of aromatic Japanese teas.",Japan,Saitama,2001,,,,,,,
Song Zhong,宋种,"'Song Dynasty Cultivar'. The apex predator of Phoenix Dan Cong oolongs, Song Zhong refers to teas made from the direct descendants of the oldest known tea tree on Wudong Mountain (reputed to be over 600 years old). It is an incredibly powerful, deep, and complex tea, known for its profound 'cha qi' (tea energy) and a layered flavor profile that can only be achieved through great age and perfect terroir.",China,Phoenix Mountains (Guangdong),960,,,,,,,
Taiwanese Wild Tea,台灣山茶,"The native, indigenous tea species of Taiwan, genetically distinct from the more common Camellia sinensis. It grows wild in the central mountain range. While not a major commercial crop, it is wild-harvested for specialty teas and is crucially important as genetic stock for breeding, most famously as a parent of the Hong Yu #18 'Ruby' cultivar.",Taiwan,Various,0,,,,,,,
Tie Guan Yin,铁观音,"'Iron Goddess of Mercy'. A legendary oolong from Anxi, China, celebrated for its complex floral aroma and lingering sweet aftertaste, known as 'Guan Yin Yun'. Its robust leaves can withstand intricate processing, yielding two distinct styles: a modern, vibrantly floral green style and a traditional, deeply roasted style with notes of fruit and caramel.",China,Anxi (Fujian),18th Century,,,,,,,
Tie Luo Han,铁罗汉,"'Iron Arhat'. One of the four original 'Si Da Ming Cong' (Great Famous Bushes) of the Wuyi Mountains. Tie Luo Han is a powerful and assertive tea, steeped in history and known for its strong 'cha qi' (tea energy), warming character, and complex flavor profile with distinct medicinal and spicy undertones.",China,Wuyi Mountains (Fujian),1368,,,,,,,
Tong Tian Xiang,通天香,"'Heavenly Aroma' or 'Heaven-Reaching Aroma'. An old and highly revered Dan Cong cultivar from Wudong Mountain, the highest peak of the Phoenix range. It is known for its exceptionally powerful, penetrating, and complex aroma, often with notes of ginger and exotic spices, and a very strong 'cha qi' (tea energy).",China,Phoenix Mountains (Guangdong),0,,,,,,,
Ujihikari,うじひかり,"'Light of Uji'. A premier modern cultivar from Uji, Kyoto, developed specifically for shaded tea production. It is known for its elegant, refined character, a brilliant green color, and a sweet, clean umami profile that is slightly less brothy and more refined than Goko. It is a top choice for competition-grade Gyokuro and Matcha.",Japan,Kyoto (Uji),1950,,,,,,,
Wu Yi,武夷,"'Wuyi'. This refers to tea plants that were originally brought to Taiwan from the Wuyi Mountains in Fujian, likely a Shui Xian type. In Taiwan, this cultivar is used to create a medium-oxidized and medium-roast oolong that pays homage to its Yancha roots. It produces a tea with a characteristic balance of woody, fruity, and mineral notes.",Taiwan,Nantou,1801,,,,,,,
Wuyi Cai Cha,武夷菜茶,"'Wuyi Vegetable Tea'. This is not a single clonal cultivar, but the original, genetically diverse heirloom 'population' of small-leaf tea bushes native to the Wuyi region. It is the authentic, historical cultivar used to create the world's first black tea, Lapsang Souchong. Unsmoked, it produces a black tea of incredible elegance and sweetness.",China,Wuyi Mountains (Fujian),0,,,,,,,
Xing Ren Xiang,杏仁香,"'Almond Fragrance'. A classic and distinct Phoenix Dan Cong oolong fragrance type. It is prized for its clear, focused, and unmistakable aroma and flavor of bitter almond, marzipan, and apricot kernel. It offers a unique, nutty departure from the more common floral or fruity Dan Cong profiles.",China,Phoenix Mountains (Guangdong),1644,,,,,,,
Ya Shi Xiang,鸭屎香,"'Duck Shit Fragrance'. A Phoenix Dan Cong oolong with a famously off-putting name that conceals a sublimely beautiful tea. It is celebrated for its uniquely creamy mouthfeel and an intense, intoxicating floral aroma of gardenia and honeysuckle, which is completely at odds with its rustic name.",China,Phoenix Mountains (Guangdong),1801,,,,,,,
Ying Xiang,迎香,"'Welcome Fragrance'. A new-generation oolong cultivar released by TRES in 2014, Ying Xiang was bred to have the elegant floral character of Qing Xin but with more intensity and a tropical twist. It is known for its clear, sophisticated, floral aroma reminiscent of osmanthus and lily.",Taiwan,Nantou,2014,,,,,,,
Yiwu Da Ye Zhong,易武大叶种,"'Yiwu Big Leaf Variety'. A famous sub-variety of the Da Ye (Assamica) varietal from the historic Yiwu mountains, one of the original Six Great Tea Mountains. In contrast to the power of Mengku, Yiwu teas are prized for their exceptional softness, elegance, and 'rou' (柔) character. They are known for having very low bitterness, a thick, soupy texture, and a prominent floral fragrance.",China,"Xishuangbanna (Yiwu), Yunnan",0,,,,,,,
Yutakamidori,ゆたかみどり,"'Abundant Green'. An early-budding cultivar that is a cornerstone of the tea industry in Kagoshima, Japan's second-largest tea-producing region. It is famous for producing a bold, full-bodied, and sweet Fukamushi (deep-steamed) Sencha with very low astringency and a beautiful, deep green color.",Japan,Kagoshima,1966,,,,,,,
Zairai,在来,"'Conventional' or 'Native'. This is not a single cultivar, but the crucial designation for Japan's heirloom, seed-propagated tea populations. Before modern clonal agriculture, all tea was Zairai. Each Zairai field is a unique, genetically diverse ecosystem, producing a tea with a complex, rustic, and deeply terroir-driven flavor that cannot be replicated by a single clone.",Japan,Various,0,,,,,,,
Zhenghe Da Bai,政和大白,"'Zhenghe Big White'. A close cousin to Fuding Da Bai, this cultivar is the foundation of white tea from the inland Zhenghe region. It is known for producing white teas that are fuller-bodied, darker in color, and deeper in flavor compared to those from Fuding, often with notes of dried fruit and wood. It is also a key cultivar for some Fujian black teas.",China,Zhenghe (Fujian),1890,,,,,,,
Zhi Lan Xiang,芝兰香,"'Orchid Fragrance'. A benchmark Phoenix Dan Cong oolong, considered one of the most classic and elegant expressions of a floral Dan Cong. It is prized for its refined, high-pitched, and pure orchid fragrance, which is less fruity than Mi Lan Xiang and more focused and delicate, representing a connoisseur's floral profile.",China,Phoenix Mountains (Guangdong),1644,,,,,,,
Zi Juan,紫娟,"'Purple Juan'. A unique and modern Yunnan cultivar developed from a natural purple-leaf mutation of the Da Ye (Assamica) varietal. Its most striking feature is its deep purple leaves, buds, and stems, a result of a very high concentration of anthocyanins. The finished tea has a distinct flavor profile, often with berry-like and slightly medicinal notes.",China,Yunnan,1990,,,,,,,
